,con_rate,bath,porch_structure,administrative_expenses,main_area,bedroom
0,87.0,2.0,1,450000.0,155,4.0
4,92.0,2.0,1,250000.0,163,5.0
5,82.0,2.0,1,150000.0,102,3.0
6,84.0,3.0,1,300000.0,157,5.0
7,72.0,1.0,2,150000.0,59,3.0
8,70.0,1.0,0,150000.0,49,2.0
9,93.0,2.0,0,200000.0,131,4.0
10,81.0,2.0,1,200000.0,107,4.0
11,78.0,2.0,2,150000.0,84,3.0
12,94.0,1.0,1,250000.0,96,3.0
13,86.0,2.0,1,250000.0,133,4.0
15,76.0,2.0,1,150000.0,84,3.0
17,77.0,2.0,1,150000.0,84,3.0
19,81.0,2.0,1,200000.0,113,4.0
20,74.0,1.0,0,120000.0,58,2.0
21,66.0,1.0,1,100000.0,31,1.0
22,83.0,2.0,1,200000.0,122,4.0
23,77.0,2.0,1,150000.0,84,3.0
24,70.0,1.0,0,120000.0,59,3.0
25,93.0,1.0,1,300000.0,95,3.0
27,93.0,2.0,1,400000.0,132,4.0
28,93.0,1.0,1,250000.0,95,3.0
29,93.0,2.0,1,400000.0,125,4.0
30,87.0,2.0,1,478000.0,158,5.0
31,78.0,1.0,0,80000.0,28,1.0
32,78.0,1.0,2,80000.0,28,1.0
33,78.0,2.0,1,155000.0,97,4.0
34,75.0,2.0,1,370000.0,84,3.0
36,75.0,2.0,1,496000.0,94,3.0
37,86.0,2.0,1,470000.0,127,4.0
