,con_rate,bedroom,bath,porch_structure,administrative_expenses,main_area
2,78.0,3.0,2.0,1,200000.0,84
3,94.0,4.0,2.0,0,300000.0,119
4,76.0,3.0,2.0,0,250000.0,82
5,73.0,3.0,1.0,0,150000.0,59
6,72.0,2.0,1.0,0,150000.0,59
7,72.0,2.0,1.0,0,150000.0,59
8,81.0,3.0,2.0,1,220000.0,84
9,94.0,4.0,2.0,0,300000.0,119
10,74.0,3.0,1.0,0,150000.0,59
11,73.0,3.0,1.0,0,170000.0,66
14,72.0,2.0,1.0,0,150000.0,59
15,79.0,3.0,2.0,1,200000.0,84
16,72.0,2.0,1.0,0,150000.0,59
17,72.0,2.0,1.0,0,150000.0,59
